text,id,score,topic_id
halo min nanya koin p2p cair td pagi masuk available cash profitnya ya dana gak masuk,276,0.6750765594096577,11
min portofolio sy koq bisa berkurang tiba2 pdhl kemarin normal duitnya hilang kemana,1163,0.6744276794010003,11
dear selamat sebentar melaporkan saldo account tiba2 terpotong sudah kroscek dgn menjumlahkan dana account p2p robolending sisa dana terpotong ntah dimana mohon dibantu ya thank you,1638,0.6740761484116412,11
withdrawal rek bank proses nya brp ya min kemarin ad withdrawal sampe masuk masuk,964,0.6738330895928545,11
ada bug menu portofolio ya min ga ada informasi detail pokok bunga pembayaran oqay0q8tid,1755,0.6641997131842607,11
halo admin tanya id produk no 212019fb3f dibayar ya tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya sudah menunggak sudah masuk status gagal bayar,1091,0.6625853499478933,11
invest uang nya eh ga jatem april sampe ga dikomplen wa robot reply email ga ada balasan ckck,352,0.6590740698914115,11
yup order history hilang schedule repayment nol barusan team dm sih semoga bisa ditangani mengecewakan bisa cek via website applikasinya tp aplikasinya error daveseta status ...,1775,0.6559015209757976,11
transaksi gak bisa udah masuk cart trs check out menu cash gak berkurang udah ah cape aplikasi sempurna rilis,1570,0.6552927767678498,11
mohon info portfolio april tertulis ada pembayaran ada pembayaran tersendat pembayarannya ya,487,0.6529870253334462,11
ada rumusnya min itunganya gmn ya liat tgl jatoh tempo gmn ya makasi d25rwacukn,1114,0.6529419205812377,11
aplikasi dibuka gak bisa disuruh relogin semoga dana nasabah gak ilang,1789,0.6527425753973812,11
gue liat masandi andihiyat bahas bunga woah gede tau gue mah ada udah tau denger andihiyat status s ...,1283,0.6433674773884359,11
kemarin portofolionya ga update ya akses portofolio indikatornya muter2 ga bisa diliat dr web jg ya sbg pendana,1626,0.6414502939951873,11
saldo referall gw dpt ko hilang bener ga aaplikasi sy udh email jg ga dijwb parah lo,1740,0.6412982134548089,11
tanya donk brp ya proses utk pinjaman dana melgkpi data pencairan pengajuan sdh sebulan belm ada kejelasan tlg donk dibantu koin wor minimal ada info status pengajuan email itingta yahoo,908,0.6304374729268174,11
dm dibalas public replay biar keliatan ada response maintenance update tampilan performance lambat aplikasi android bisa halaman tampilan portofolio sulit,1778,0.6298267786118417,11
hallo coba portofolio laporan keuangan transparan ada udah jatuh tempo terbayarkan ada alasan fitur buka data lender ga bisa dibuka merekomendasikan keorang keluhan usernya tdk ditanggapi,457,0.6296996362582896,11
admin sudah perbaruan aplikasi kluarnya tampilan halaman depannya ga bisa login,1776,0.6262468043148748,11
pinjam dana atm nmr atm berlaku atm saldo ada brp kalo dr 700rb disuruh isi harusbada saldo,659,0.6261737476212546,11
sd setup autopurchase acct status sdh on tdk dgn spt pakai do android mohon penjelasan,1532,0.6260230915983237,11
program2 fintek sdh diawasi ojk sdh ada spt lps nya tau namanya investasi ada resikonya uang hilang ya gimana ya,1161,0.6257506023675892,11
id lender no 212019fb3f 212019c0b0 id merurul gmail tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya soalna sudah nunggak sesuai janji iklan refund dana,1460,0.624846016334182,11
duit gw hilang investasi koinrobo dah cair tp pengembalian dana ga ada dashboard ojkindonesia evaluasi ijin fintech,1464,0.6240439190141842,11
pekerja ngantor pengen bisikin atasan yok bisa yok wfh udah ketakutan loh kontrakan digosipin tetangga pagi td diledekin clien krn msh nelp pake telp kantor bilang msh ngantor lg rebaham krn wfh c7d88dqrr6,783,0.6237591834876095,11
dear kw bisa pendanaan koinrobo ada ya mohon dibantu terima kasih,184,0.6160080431601157,11
