,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
1897,2020-03-23,koinworks,KoinWorks,"saking betahnya rebahan sambil WFH, jadi mager mandi yah kak!😆",[],0,0,[],cfcf7631-b111-42aa-9e76-a3058d20d776
1898,2020-03-23,t2h_okti,Okti Li (阿姨),Betul Mbak. Semoga kita semua terjaga dari wabah ini ya. Aamiin...,[],0,0,[],1a440242-82ac-4148-b199-830c63f7b0e8
1899,2020-03-23,yuk_ngegalau,Yuk Ngegalau,"Iya, semoga lekas berakhir, mimin jadi galau lagi nih.",[],0,0,[],93ca337a-4ebb-45a6-a658-8f1d41a14c6c
1900,2020-03-23,ira_hamid16,Irawati Hamid,"Sayangnya masih banyak yang ngeyel, Mba, hiks 😓. Padahal imbauan #dirumahaja ini untuk kepentingan kita bersama",[],1,1,['#dirumahaja'],f076e7b5-1b7a-4516-bd32-0ce624a4e918
1901,2020-03-23,yuk_ngegalau,Yuk Ngegalau,"Iya, mari kita lanjutkan budaya baik ini.",[],0,0,[],77494398-9fdd-46b4-af3a-d03032e1fb08
1902,2020-03-23,yuk_ngegalau,Yuk Ngegalau,"Namaste~~ 

Hihi",[],0,1,[],19789d6a-aa61-48d3-a69a-3e010a75a300
1903,2020-03-23,yuk_ngegalau,Yuk Ngegalau,Walaupun #dirumahaja bukan berarti nggak bisa berkarya ya? 🙈,[],0,0,['#dirumahaja'],979a89e8-949e-4928-b496-6c4244587266
1904,2020-03-23,haitiaratia,Tia,"Wah, saya ikut salut.",[],0,0,[],06b105ac-990a-4800-a752-11dd784bd059
1905,2020-03-23,xalowerz,X,Kerennyaaa,[],0,0,[],be0a0c20-4fc4-4604-83b4-190c16b55fbf
1906,2020-03-23,hgfdpoiy,"Me, myself, and I","Aku juga tetap produktif dong, walau di rumah aja.",[],0,0,[],0447b95f-6113-4a27-a6da-107c2a19bf6b
1907,2020-01-09,danielchayau,Author,"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) . https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us …",['https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us'],28,107,[],e52f12a9-6aac-40c9-a816-7670d9d8675e
1908,2020-03-23,mimainsan,A Human Being,"Wah, patut dicontoh ya. Stay safe untuk kita semua 😊",[],0,0,[],c72dbac1-4b79-4169-b514-3144cf34a4e2
1909,2020-03-23,justidhania,Dhania,"@koinworks halo min, mau nanya kenapa untuk login susah sekali ya, otp tidak masuk sms. Dan saat registrasi untuk upload ktp gagal terus berulang kali coba",[],0,0,[],e2979f15-1f84-44d1-851f-0f92742697dd
1910,2020-03-23,t2h_okti,Okti Li (阿姨),Sehat selalu ya Mbak bersama anak-anak...,[],0,0,[],2860c446-e16d-4c95-afeb-439c96eb91b2
1911,2020-03-23,dodon_jerry,IG @dodon_jerry,Mari kita dukung dan sebarkan semuanya,[],0,0,[],477bc08b-c205-444b-9a30-c318c03e523a
1912,2020-03-23,dodon_jerry,IG @dodon_jerry,Kudu banget kita sukseskan pemutusan mata rantai corona ini,[],0,0,[],3eb380ce-4081-47b6-9510-c58f8c97621d
1913,2020-03-23,dodon_jerry,IG @dodon_jerry,Baik... Mari sama sama dirumah saja,[],0,0,[],897c0f59-849e-4f97-91ad-ac97fe46d083
1914,2020-03-23,temanjalanmakan,TemanMakan,Apa susahnya coba berdiam diri dirumah. Semoga semua bisa cepat berlalu. Bikin lebih banyak lagi billboardnya @koinworks,[],0,0,[],a409abbc-1c6a-4770-9cae-bb171ac6ad03
1915,2020-03-23,vigorfoodcourt,VigorFoodCourt,Mari kita sama sama dirumah aja. Thanks @koinworks udah bikin billboard gede,[],0,0,[],901f296e-6e6e-4c24-8689-55ceed0b02bf
1916,2020-03-23,gemarmembacaid,Gema_IndonesiaID,Ayo sama sama kita dukung dan hentikan penyebaran virus corona di rumah saja,[],0,0,[],f069b125-d776-4f79-91b7-1e9d4081f101
1917,2020-03-23,dodon_jerry,IG @dodon_jerry,Betul kak min... Aku setuju banget. Banyak pihak sudah ngingetin,[],0,0,[],4284dc98-c578-49f5-a135-217a0ec3cc5f
1918,2020-03-23,dodon_jerry,IG @dodon_jerry,Ayok dukung pemerintah dengan tinggal dirumah aja. Jangan keras kepala,[],0,0,[],e1bdd69e-f21d-40bf-ade2-0a31731a0428
1919,2020-03-23,dodon_jerry,IG @dodon_jerry,Heraaaannn.... Masih aja ada aja orang yang berkumpul. Ngga takut terinfeksisama sekali,[],0,0,[],74913ce8-632b-4484-9589-586e66f1d07e
1920,2020-03-23,dodon_jerry,IG @dodon_jerry,Kudu ikut anjuran pemerintah... Di rumah aja kalau ngga ada urusan penting,[],0,0,[],7a073f24-dcec-4111-bd1a-cc146e5e8421
1921,2020-03-23,jayakabajay,Paman Bajay,Ok. Terima kasih.,[],0,0,[],05b2f0c8-91df-4cb0-a281-9684dc308145
1922,2020-03-23,ratmawan,Rangerhijau,"@koinworks mamah maaf ya, Kan sudah Ada wifi di rumah. Kalau mau meeting pakai video call pakai wifi ajah ya. Uang pulsanga di tabung buat invest di @koinworks  pic.twitter.com/cZHeQket10",[],0,0,[],274a9e87-6b59-4302-b22e-ba3dfd7c6067
