date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id,cleaned,flair_dataset,is_ref
2019-12-24,chandra_herdy,Official Promo Asetku,"Segera Gabung Kawan,Tingkatkan Saldo KoinWorks Mu, Dan Nikmati Hasilnya Dalam Berinvestasi Peer To Peer, Add Referralku Ya: A93068 Dan Langsung Dapatkan Tambahan 350RB Di Saldo Koin Mu Pada Saat Pendaftaran Pertama Kalinya",[],0,0,[],72ea5e7a-0003-49d6-b5af-ecd0fe7e61f3,gabung kawan tingkatkan saldo mu nikmati hasilnya berinvestasi peer to peer add referralku ya a93068 langsung dapatkan tambahan 350rb saldo koin mu pendaftaran kalinya,segera gabung kawan tingkatkan saldo koinworks mu dan nikmati hasilnya dalam berinvestasi peer to peer add referralku ya a93068 dan langsung dapatkan tambahan 350rb di saldo koin mu pada saat pendaftaran pertama kalinya,False
2019-12-24,andre_w_13,Andre Wihardi ( W ),"Sipp trima kasih admin, langsung masuk.",[],0,0,[],f22fd520-c612-48c7-8707-5d9c58870211,sipp trima kasih admin langsung masuk,sipp trima kasih admin langsung masuk,False
2019-12-24,foxeverfox,Christian YT,"@koinworks halo min , 
Saat ini saya baru install ulang aplikasi koinwork di android , saya baru sadar no telpon yg saya register sebelumnya salah sehingga gagal kirim OTP , 
apakah bisa dikoreksi min ?",[],1,0,[],977eeb0d-bb35-4207-b842-5a27150559b4,halo min install ulang aplikasi koinwork android sadar no telpon register salah gagal kirim otp bisa dikoreksi min,koinworks halo min saat ini saya baru install ulang aplikasi koinwork di android saya baru sadar no telpon yg saya register sebelumnya salah sehingga gagal kirim otp apakah bisa dikoreksi min,False
2019-12-24,vspspita,Visi,"Wah aku malah belum pernah coba koinworks, hehehe. Aku pernahnya cuma Investree sama Akseleran. Menurutku dua-duanya lumayan ok sih",[],0,0,[],6308cbc1-0289-4ffa-9755-317445a3c12d,coba hehehe pernahnya investree akseleran menurutku duanya lumayan ok sih,wah aku malah belum pernah coba koinworks hehehe aku pernahnya cuma investree sama akseleran menurutku dua duanya lumayan ok sih,False
2019-12-24,jonyveyron,Jony Zhang,"Dear team @koinworks , mohon dicek topup saldo saya blm masuk dgn no invoice 142156",[],0,0,[],cc9b2d72-4b30-4b5a-b45c-5ad233f86c2f,dear team mohon dicek topup saldo blm masuk dgn no invoice,dear team koinworks mohon dicek topup saldo saya blm masuk dgn no invoice,False
2019-12-24,jenicecure,Jenice Cure,"Hi, let me introduce you to *KoinWorks*
 *Click to watch video* 
  https://youtu.be/ir7B7HSXwRs 

Download and *Use my code 13684 to get 350,000* KOIN or click  https://koinworks.onelink.me/uBUZ/d14cdfa4 
KoinWorks is *registered and supervised by OJK* Indonesia Financial Service Authority","['https://youtu.be/ir7B7HSXwRs', 'https://koinworks.onelink.me/uBUZ/d14cdfa4']",0,0,[],1fb7ae21-5579-45f7-aa5c-9de6e14d452d,let me introduce you to click to watch video be ir7b7hsxwrs and use my to get koin or click onelink me ubuz d14cdfa4 is registered and supervised by ojk indonesia financial service authority,hi let me introduce you to koinworks click to watch video https youtu be ir7b7hsxwrs download and use my code to get koin or click https koinworks onelink me ubuz d14cdfa4 koinworks is registered and supervised by ojk indonesia financial service authority,False
2019-12-23,zaendarma,ZAENAL ARIFIN,"Waspada Investasi di Crowde, Lebih Baik di Invisee, Akseleran, atau Koinworks  http://rviv.ly/qes2tS ",['http://rviv.ly/qes2tS'],0,0,[],34586ba0-127e-4a91-8276-8035e39bed5f,waspada investasi crowde invisee akseleran rviv ly qes2ts,waspada investasi di crowde lebih baik di invisee akseleran atau koinworks http rviv ly qes2ts,False
2019-12-23,bananalautanapi,mikyx,Sudah di DM,[],0,0,[],7a83061b-ed5e-4c2b-bc8b-847846bba16b,sudah dm,sudah di dm,False
2019-12-23,hdpadlkoentji,koentjiadlhdp,Lagi tertarik aja sih. Kebetulan mau nyoba pake koinworks. coba review dong mbak hehe,[],0,0,[],22dc1917-5955-4cd3-b925-2d4a901d1bfe,tertarik sih nyoba pake coba review mbak hehe,lagi tertarik aja sih kebetulan mau nyoba pake koinworks coba review dong mbak hehe,False
2019-12-23,indoposonline,indopos.co.id,"2019, KoinWorks Catat Pertumbuhan 200 Persen Lebih

#fintech #KoinWorks #bacaindoposaja https://indopos.co.id/read/2019/12/23/213173/2019-koinworks-catat-pertumbuhan-200-persen-lebih/ …",['https://indopos.co.id/read/2019/12/23/213173/2019-koinworks-catat-pertumbuhan-200-persen-lebih/'],0,0,"['#fintech', '#koinworks', '#bacaindoposaja']",e0e9b2c2-a9d5-4ca8-8370-6aba002ff955,catat pertumbuhan persen fintech bacaindoposaja indopos co id read catat pertumbuhan persen ...,koinworks catat pertumbuhan persen lebih fintech koinworks bacaindoposaja https indopos co id read koinworks catat pertumbuhan persen lebih ...,False
